Sigla;Código;Estado;homens_2012;mulheres_2012;homens_2026;mulheres_2026;mudanca_homens;mudanca_mulheres;media_horas_2022;horas_homens_brancos;horas_homens_pretos_pardos;horas_mulheres_brancas;horas_mulheres_pretas_pardas
AC;12;Acre;45,3;54,7;53,2;46,8;7,900000000000006;-7,900000000000006;13,60690337671369;10,79611951522052;9,686983432771294;16,1303521772291;16,710754190497703
AL;27;Alagoas;44,7;55,3;50,7;49,3;6,0;-6,0;20,217129217862883;12,121839201729413;13,357160103132525;24,09365507050202;25,85663667183645
AP;16;Amapá;48,1;51,9;51,1;48,9;3,0;-3,0;13,586655516785198;11,116821139266662;10,749444347518734;16,648579119310984;15,908486964521487
AM;13;Amazonas;47,5;52,5;46,8;53,2;-0,7000000000000028;0,7000000000000028;16,807290275773322;12,233042985186538;12,822583831568856;18,76496892946087;20,716985742764138
BA;29;Bahia;43,8;56,2;44,7;55,3;0,9000000000000057;-0,9000000000000057;17,849775846054133;10,551672772449933;10,982807715803167;22,572730309609128;23,21711866039272
CE;23;Ceará;51,1;48,9;52,7;47,3;1,6000000000000014;-1,6000000000000014;19,499293202723454;12,1869359043862;12,821322884890337;23,01971801929348;24,952274394584315
DF;53;Distrito Federal;41,0;59,0;47,9;52,1;6,899999999999999;-6,899999999999999;15,096351385206958;11,377952056532278;10,48127850646308;17,738122955968876;19,307332150587133
ES;32;Espírito Santo;46,4;53,6;47,5;52,5;1,1000000000000014;-1,1000000000000014;17,111106290014998;11,798570553737287;12,01758940121433;20,464462204402455;22,19662612627663
GO;52;Goiás;41,0;59,0;47,5;52,5;6,5;-6,5;15,186470906303967;10,636424479563813;10,53188258611141;18,44084227089158;19,58791294541462
MA;21;Maranhão;47,2;52,8;49,1;50,9;1,8999999999999986;-1,8999999999999986;16,669613629249437;11,665173028659641;11,437358563307932;19,881055597716813;20,739589463865233
MT;51;Mato Grosso;44,1;55,9;42,8;57,2;-1,3000000000000043;1,3000000000000043;14,239988796112216;9,479653916089935;9,26573377241184;17,78282507308259;18,69592341626151
MS;50;Mato Grosso do Sul;47,2;52,8;45,3;54,7;-1,9000000000000057;1,9000000000000057;15,30978326174933;10,446213222846051;11,126919833653625;18,593200409283902;19,542760765063782
MG;31;Minas Gerais;43,1;56,9;48,6;51,4;5,5;-5,5;17,502140657103446;11,319719820609476;11,619119864290182;22,186649573498464;23,07575102417846
PR;41;Paraná;40,3;59,7;46,3;53,7;6,0;-6,0;15,390121730266973;11,240085015625805;10,815610653596337;18,896660816951027;19,365380113501597
PB;25;Paraíba;44,4;55,6;48,9;51,1;4,5;-4,5;18,920816236791723;12,480203902738117;12,400830976038945;23,642936160273443;24,03564996438368
PA;15;Pará;43,2;56,8;48,3;51,7;5,099999999999994;-5,099999999999994;16,474267546123745;11,524305695111753;11,026706647947272;19,83511037909987;21,59114395961539
PE;26;Pernambuco;43,9;56,1;48,7;51,3;4,800000000000004;-4,800000000000004;19,306249435369693;12,312832904161557;12,868820994404892;23,357879549930814;24,243396112164618
PI;22;Piauí;51,2;48,8;55,1;44,9;3,8999999999999986;-3,8999999999999986;17,96036585313155;12,258323896952385;11,204813932569758;20,494063301640942;23,695440127732773
RN;24;Rio Grande do Norte;51,0;49,0;48,2;51,8;-2,799999999999997;2,799999999999997;18,307739543439787;11,166908708656509;11,086286335612467;23,54708047658365;24,422884414750808
RS;43;Rio Grande do Sul;42,8;57,2;47,4;52,6;4,600000000000001;-4,600000000000001;15,356708913908161;11,308447309014376;11,51994061402787;18,868229981384417;19,10772032464248
RJ;33;Rio de Janeiro;44,2;55,8;45,4;54,6;1,1999999999999957;-1,1999999999999957;16,716262536343233;12,000036320608368;12,8648960058147;19,20374122179168;20,9577281507692
RO;11;Rondônia;43,4;56,6;33,0;67,0;-10,399999999999999;10,399999999999999;17,01416153245271;12,111127154933977;12,544080001139763;20,412887467518654;21,06140972455808
RR;14;Roraima;41,8;58,2;43,4;56,6;1,6000000000000014;-1,6000000000000014;13,639257287604108;10,81480276756139;10,476600849484294;16,13587739390601;16,560244209124274
SC;42;Santa Catarina;42,7;57,3;44,6;55,4;1,8999999999999986;-1,8999999999999986;16,039355202256342;12,339051683667494;11,51734155305889;19,414764466838474;19,64657276473208
SE;28;Sergipe;46,5;53,5;40,3;59,7;-6,200000000000003;6,200000000000003;18,82654148291451;10,83051051103208;11,270340688995512;21,740902359569553;25,6376808797929
SP;35;São Paulo;45,4;54,6;46,2;53,8;0,8000000000000043;-0,8000000000000043;17,071295479298144;12,123044132004742;12,235199786897963;20,771186299514113;21,767620384905943
TO;17;Tocantins;55,3;44,7;46,2;53,8;-9,099999999999994;9,099999999999994;15,815780560210031;10,733863088577145;11,68261640944594;19,66371281334849;19,629398524088177
